[27/06/2022 17:58:45] [INFO] received Windows console close event; shutting log-core down
[27/06/2022 18:02:27] [INFO] received Windows console close event; shutting log-core down
[27/06/2022 18:03:38] [INFO] received Windows console close event; shutting log-core down
[27/06/2022 18:13:17] [INFO] received Windows console close event; shutting log-core down
[27/06/2022 18:16:34] [INFO] received Windows console close event; shutting log-core down
[27/06/2022 18:38:02] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 04:39:57] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 04:49:30] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 16:41:43] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 16:43:14] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 16:43:59] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 16:55:02] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 17:13:25] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 19:46:11] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:03:42] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:03:56] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:04:48] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:05:20] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:07:34] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:08:32] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:14:01] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:23:31] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:26:42] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:28:40] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:30:25] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:33:15] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:35:09] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 20:37:09] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 22:02:24] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 22:12:10] [INFO] received Windows console close event; shutting log-core down
[28/06/2022 22:14:13] [INFO] received Windows console close event; shutting log-core down
[29/06/2022 15:24:44] [INFO] received Windows console close event; shutting log-core down
[29/06/2022 15:25:57] [INFO] received Windows console close event; shutting log-core down
[29/06/2022 15:31:24] [INFO] received Windows console close event; shutting log-core down
[29/06/2022 16:33:55] [INFO] received Windows console close event; shutting log-core down
[29/06/2022 16:39:28] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 18:53:14] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 19:47:12] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 21:50:46] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 21:51:17] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 21:55:38] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 22:22:32] [INFO] received Windows console close event; shutting log-core down
[30/06/2022 23:39:26] [INFO] received Windows console close event; shutting log-core down
